"unnamed:_0.1","session_id","initiator","start_time","end_time","collaborate_primary","collaborate_secondary","independent_primary","independent_secondary","task_distribution","task_transition","independent_distraction","collaboration_on_distraction","modality","task_allo_and_plann","provision_of_handover_information","info_sharing_and_situ_assess","escalation","information_requesting","responding_to_request","agreement","comparison","unnamed:_0","utterance_id","conversation_id","text","duration","receiver","location","priority","communication_type","stage_based_on_num_of_student","stage_based_on_scenario"
20,149,"red",253.8222,255.7422,0,0,0,0,0,0,0,0,"dialogue",0,0,0,0,0,1,0,"low",1480,7,48,"Yes, yes I think it's there, it's probably there, the referral .",1.92,"blue","bed4","primary","responsing to request","1. two students",NA
21,149,"blue",259,267,0,0,0,0,0,0,0,1,"location",0,0,0,0,0,0,0,"low",NA,NA,48,NA,NA,NA,NA,NA,NA,NA,NA
22,149,"red",259.0222,263.9222,0,0,0,0,0,0,0,0,"dialogue",0,0,0,0,1,1,0,"low",1481,8,48,"And then the replacement dressing , you'll be okay ?",4.9,"blue","bed4","primary","responsing to request,information requesting","1. two students",NA
23,149,"red",260,263,0,0,0,0,0,0,0,1,"location",0,0,0,0,0,0,0,"low",NA,NA,48,NA,NA,NA,NA,NA,NA,NA,NA
24,149,"red",264,267,0,0,0,0,1,0,0,0,"location",0,0,0,0,0,0,0,"low",NA,NA,48,NA,NA,NA,NA,NA,NA,NA,NA
25,149,"blue",264.6422,266.9622,0,0,0,0,0,0,0,0,"dialogue",0,0,0,0,0,1,0,"low",1482,9,48,"Yes. Should be okay .",2.32,"red","bed4","primary","responsing to request","1. two students",NA
26,149,"red",267.3422,270.8022,0,0,0,0,0,0,0,0,"dialogue",0,0,0,0,0,0,1,"low",1483,10,48,"Okay , let me know if you need any help, yes.",3.46,"blue","bed4","primary","agreement","1. two students",NA
28,149,"red",268,274,0,0,0,0,0,1,0,0,"location",0,0,0,0,0,0,0,"low",NA,NA,48,NA,NA,NA,NA,NA,NA,NA,NA
27,149,"blue",268,273.0122,0,0,0,0,0,0,1,0,"location",0,0,0,0,0,0,0,"low",NA,NA,48,NA,NA,NA,NA,NA,NA,NA,NA
29,149,"blue",269.4222,271.3322,0,0,0,0,0,0,0,0,"dialogue",0,0,0,0,0,0,1,"low",1484,11,48,"Okay. Yes, okay .",1.91,"red","bed4","primary","agreement","1. two students",NA
30,149,"red",271.8822,272.3922,0,0,0,0,0,0,0,0,"dialogue",0,0,0,0,0,0,1,"low",1485,12,48,"Okay .",0.51,"blue","bed4","primary","agreement","1. two students",NA
31,149,"blue",272.7422,273.0122,0,0,0,0,0,0,0,0,"dialogue",0,0,0,0,0,0,1,"low",1486,13,48,"Okay .",0.27,"red","bed4","primary","agreement","1. two students",NA
32,149,"blue",273.0122,282.5322,0,0,0,0,0,0,0,0,"dialogue",0,0,0,0,0,0,0,"low",1493,20,50,"Sorry, I'm Shi Yu , I'm going to be your nurse today. Nice to meet you. So, waiting discharge for Jessie Husband.",9.52,"relative","bed3","secondary",NA,"1. two students",NA
27,149,"blue",273.0122,391,0,0,0,0,0,0,1,0,"location",0,0,0,0,0,0,0,"low",NA,NA,50,NA,NA,NA,NA,NA,NA,NA,NA
33,149,"red",275,349,0,0,0,1,0,0,0,0,"location",0,0,0,0,0,0,0,"low",NA,NA,49,NA,NA,NA,NA,NA,NA,NA,NA
34,149,"red",278.6022,283.8822,0,0,0,0,0,0,0,0,"dialogue",0,0,0,0,0,0,0,"low",1487,14,49,"I'm just going to do a set of obs on you, I'm going to be your nurse for today.",5.28,"patient","bed1","secondary",NA,"1. two students",NA
35,149,"blue",284.6222,290.4422,0,0,0,0,0,0,0,0,"dialogue",0,0,0,0,0,0,0,"low",1494,21,50,"So, this is the outpatient paper that you need to take with you.",5.82,"relative","bed3","secondary",NA,"1. two students",NA
36,149,"red",285.4222,287.8622,0,0,0,0,0,0,0,0,"dialogue",0,0,0,0,0,0,0,"low",1488,15,49,"Don't worry I'm just going to put the blood pressure.",2.44,"patient","bed1","secondary",NA,"1. two students",NA
37,149,"blue",293.0622,322.1322,0,0,0,0,0,0,0,0,"dialogue",0,0,0,0,0,0,0,"low",1495,22,50,"Referral to outpatients' clinic. Referring doctor, Dr J Jones. Thirty. Yes. And then this is your discharge letter. And so, you happy to have free. Gibson. Neuro and physio outpatients for the L4, L5 discectomy nerve compression.",29.07,"relative","bed3","secondary",NA,"1. two students",NA
38,149,"red",304.1022,309.9822,0,0,0,0,0,0,0,0,"dialogue",0,0,0,0,0,0,0,"low",1489,16,49,"I'm just checking your blood pressure right now, I'm just going to get the chart.",5.88,"patient","bed1","secondary",NA,"1. two students",NA
39,149,"red",317.6622,319.2022,0,0,0,0,0,0,0,0,"dialogue",0,0,0,0,0,0,0,"low",1490,17,49,"I'm just going to put this probe.",1.54,"patient","bed1","secondary",NA,"1. two students",NA
40,149,"blue",330.1622,352.4322,0,0,0,0,0,0,0,0,"dialogue",0,0,0,0,0,0,0,"low",1496,23,50,"Yes there's a prescription here for the analgesia Endone five milligrams. Is that what he's been having in the hospital? Has that been helping him? So, it'll be 2.5 milligrams oral six hourly, and strength. So, I think he'll be okay once he takes this one. If it's not strong enough maybe check back with us again.",22.27,"relative","bed3","secondary",NA,"1. two students",NA
41,149,"red",333.2022,338.6022,0,0,0,0,0,0,0,0,"dialogue",0,0,0,0,0,0,0,"low",1491,18,49,"So your blood pressure is 134 over 81 which is good.",5.4,"patient","bed1","secondary",NA,"1. two students",NA
42,149,"red",345.2222,345.9222,0,0,0,0,0,0,0,0,"dialogue",0,0,0,0,0,0,0,"low",1492,19,49,"Hello Pepper.",0.7,"patient","bed1","secondary",NA,"1. two students",NA
43,149,"red",350,360,0,0,0,0,0,1,0,0,"location",0,0,0,0,0,0,0,"low",NA,NA,51,NA,NA,NA,NA,NA,NA,NA,NA
44,149,"red",350.0222,351.5222,0,0,0,0,0,0,0,0,"dialogue",0,0,0,0,0,0,0,"low",1501,28,51,"Hello, Cynthia speaking, yes.",1.5,"phone","phone","secondary",NA,"1. two students",NA
45,149,"blue",356.8422,362.1622,0,0,0,0,0,0,0,0,"dialogue",0,0,0,0,0,0,0,"low",1497,24,50,"Outpatient physio appointment. Dressings. Yes.",5.32,"relative","bed3","secondary",NA,"1. two students",NA
46,149,"red",360.1022,362.7822,0,0,0,0,0,0,0,0,"dialogue",0,0,0,0,0,0,0,"low",1502,29,51,"Not yet, she'll be back very soon.",2.68,"phone","phone","secondary",NA,"1. two students",NA
47,149,"red",361,373,0,1,0,0,0,0,0,0,"location",0,0,0,0,0,0,0,"low",NA,NA,51,NA,NA,NA,NA,NA,NA,NA,NA
48,149,"red",365.2422,371.8922,0,0,0,0,0,0,0,0,"dialogue",0,0,0,0,0,0,0,"low",1503,30,51,"Yes, I'll give you a call, what was your name again? Margaret, I'll give you a call as soon as she's back.",6.65,"phone","phone","secondary",NA,"1. two students",NA
49,149,"red",374,381,0,0,0,0,0,1,0,0,"location",0,0,0,0,0,0,0,"low",NA,NA,51,NA,NA,NA,NA,NA,NA,NA,NA
50,149,"red",377.3022,377.6822,0,0,0,0,0,0,0,0,"dialogue",0,0,0,0,0,0,0,"low",1504,31,51,"Okay.",0.38,"phone","phone","secondary",NA,"1. two students",NA
51,149,"blue",378.1922,382.1422,0,0,0,0,0,0,0,0,"dialogue",0,0,0,0,0,0,0,"low",1498,25,50,"Okay, I'll check the dressing. I'll do hand hygiene.",3.95,"relative","bed3","secondary",NA,"1. two students",NA
52,149,"red",382,388.1022,0,0,0,1,0,0,0,0,"location",0,0,0,0,0,0,0,"low",NA,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA
53,149,"red",388.1022,393.4022,0,0,0,0,0,0,0,0,"dialogue",0,0,0,0,0,0,0,"low",1505,32,52,"Okay, your stats are looking really good and your pulse as well.",5.3,"patient","bed1","secondary",NA,"1. two students",NA
52,149,"red",388.1022,411.4422,0,0,0,1,0,0,0,0,"location",0,0,0,0,0,0,0,"low",NA,NA,52,NA,NA,NA,NA,NA,NA,NA,NA
54,149,"blue",392,415,0,0,0,0,0,1,0,0,"location",0,0,0,0,0,0,0,"low",NA,NA,50,NA,NA,NA,NA,NA,NA,NA,NA
55,149,"blue",392.3222,392.9422,0,0,0,0,0,0,0,0,"dialogue",0,0,0,0,0,0,0,"low",1499,26,50,"Some gloves.",0.62,"relative","bed3","secondary",NA,"1. two students",NA
56,149,"red",406.7222,407.3622,0,0,0,0,0,0,0,0,"dialogue",0,0,0,0,0,0,0,"low",1506,33,52,"Temperature, okay.",0.64,"patient","bed1","secondary",NA,"1. two students",NA
57,149,"blue",408.1822,413.6022,0,0,0,0,0,0,0,0,"dialogue",0,0,0,0,0,0,0,"low",1500,27,50,"So, I think I might need to turn him, he's on his spine.",5.42,"relative","bed3","secondary",NA,"1. two students",NA
58,149,"red",409.3222,411.4422,0,0,0,0,0,0,0,0,"dialogue",0,0,0,0,0,0,0,"low",1507,34,52,"Just going to. Hello.",2.12,"handover staff","bed1","secondary",NA,"1. two students",NA
52,149,"red",411.4422,417.4822,0,0,0,1,0,0,0,0,"location",0,0,0,0,0,0,0,"low",NA,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA
59,149,"blue",416,438,0,0,0,0,0,0,1,0,"location",0,0,0,0,0,0,0,"low",NA,NA,53,NA,NA,NA,NA,NA,NA,NA,NA
60,149,"red",417.4822,420.4422,0,0,0,0,0,0,0,0,"dialogue",0,0,0,0,1,0,0,"low",1508,35,53,"Do you ?",2.96,"blue","bed2","secondary","information requesting","1. two students",NA
52,149,"red",417.4822,428.8822,0,0,0,1,0,0,0,0,"location",0,0,0,0,0,0,0,"low",NA,NA,53,NA,NA,NA,NA,NA,NA,NA,NA
61,149,"blue",419.2822,420.7222,0,0,0,0,0,0,0,0,"dialogue",1,0,0,0,0,0,0,"low",1509,36,53,"Do you want me to help ?",1.44,"red","bed3","secondary","task allocation","1. two students",NA
62,149,"red",422.0022,423.6622,0,0,0,0,0,0,0,0,"dialogue",1,0,0,0,0,0,0,"low",1510,37,53,"Do you want to take? I'll take her .",1.66,"blue","bed1","secondary","task allocation","1. two students",NA
63,149,"blue",423.0422,425.1622,0,0,0,0,0,0,0,0,"dialogue",0,0,0,0,0,0,1,"low",1511,38,53,"Sure .",2.12,"red","bed3","secondary","agreement","1. two students",NA
64,149,"red",425.5822,428.8822,0,0,0,0,0,0,0,0,"dialogue",1,0,0,0,0,0,0,"low",1512,39,53,"You want to take her? I'm just doing obs and the antibiotics .",3.3,"blue","bed1","secondary","task allocation","1. two students",NA
52,149,"red",428.8822,436.8622,0,0,0,1,0,0,0,0,"location",0,0,0,0,0,0,0,"low",NA,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA
65,149,"blue",428.9822,433.0222,0,0,0,0,0,0,0,0,"dialogue",0,0,0,0,0,0,0,"low",1513,40,53,"Do you mind if I come back to check the.? Yes, I'll be back.",4.04,"relative","bed3","secondary",NA,"1. two students",NA
66,149,"blue",434.7422,437.0222,0,0,0,0,0,0,0,0,"dialogue",0,0,0,0,0,0,0,"low",1514,41,53,"Yes, all good.",2.28,"relative","bed3","secondary",NA,"1. two students",NA
67,149,"red",436.8622,438.8822,0,0,0,0,0,0,0,0,"dialogue",0,0,0,0,0,0,0,"low",1515,42,54,"Okay, I'm just going to check your temperature, the temperature for Imani is?",2.02,"patient","bed1","secondary",NA,"1. two students",NA
52,149,"red",436.8622,464.5422,0,0,0,1,0,0,0,0,"location",0,0,0,0,0,0,0,"low",NA,NA,54,NA,NA,NA,NA,NA,NA,NA,NA
68,149,"blue",439,440,0,0,0,0,0,1,0,0,"location",0,0,0,0,0,0,0,"low",NA,NA,55,NA,NA,NA,NA,NA,NA,NA,NA
69,149,"blue",439.7022,440.2222,0,0,0,0,0,0,0,0,"dialogue",0,0,0,0,0,0,0,"low",1518,45,55,"Yes.",0.52,"handover staff","bed4","primary",NA,"1. two students",NA
70,149,"blue",441,524.8422,0,1,0,0,0,0,0,0,"location",0,0,0,0,0,0,0,"low",NA,NA,55,NA,NA,NA,NA,NA,NA,NA,NA
71,149,"blue",443.9622,444.8022,0,0,0,0,0,0,0,0,"dialogue",0,0,0,0,0,0,0,"low",1519,46,55,"Yes.",0.84,"handover staff","bed4","primary",NA,"1. two students",NA
72,149,"red",447.7422,449.2222,0,0,0,0,0,0,0,0,"dialogue",0,0,0,0,0,0,0,"low",1516,43,54,"Okay, thank you.",1.48,"patient","bed1","secondary",NA,"1. two students",NA
73,149,"blue",458.6422,459.5222,0,0,0,0,0,0,0,0,"dialogue",0,0,0,0,0,0,0,"low",1520,47,55,"Okay.",0.88,"handover staff","bed4","primary",NA,"1. two students",NA
74,149,"red",461.5422,464.5422,0,0,0,0,0,0,0,0,"dialogue",0,0,0,0,0,0,0,"low",1517,44,54,"Okay Imani, I'm just going to go get the meds for you.",3,"patient","bed1","secondary",NA,"1. two students",NA
52,149,"red",464.5422,493,0,0,0,1,0,0,0,0,"location",0,0,0,0,0,0,0,"low",NA,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA
75,149,"blue",467.7822,468.4822,0,0,0,0,0,0,0,0,"dialogue",0,0,0,0,0,0,0,"low",1521,48,55,"Okay.",0.7,"handover staff","bed4","primary",NA,"1. two students",NA
76,149,"red",494,499,0,0,0,0,0,1,0,0,"location",0,0,0,0,0,0,0,"low",NA,NA,-100,NA,NA,NA,NA,NA,NA,NA,NA
77,149,"red",500,511.8622,0,1,0,0,0,0,0,0,"location",0,0,0,0,0,0,0,"low",NA,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA
78,149,"red",511.8622,520.2522,0,0,0,0,0,0,0,0,"dialogue",0,0,0,0,0,0,0,"low",1855,382,92,"Hello, I'm just one of the graduate nurses speaking, I just needed the other graduate nurse to come in and give us a hand. Thank you, bye.",8.39,"phone","phone","secondary",NA,"1. two students",NA
77,149,"red",511.8622,520.2522,0,1,0,0,0,0,0,0,"location",0,0,0,0,0,0,0,"low",NA,NA,92,NA,NA,NA,NA,NA,NA,NA,NA
79,149,"blue",513.4022,514.8022,0,0,0,0,0,0,0,0,"dialogue",0,0,0,0,0,0,0,"low",1522,49,55,"Okay.",1.4,"handover staff","bed4","primary",NA,"1. two students",NA
80,149,"blue",519.1822,520.2422,0,0,0,0,0,0,0,0,"dialogue",0,0,0,0,0,0,0,"low",1523,50,55,"Okay.",1.06,"handover staff","bed4","primary",NA,"1. two students",NA
77,149,"red",520.2522,525.4222,0,1,0,0,0,0,0,0,"location",0,0,0,0,0,0,0,"low",NA,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA
81,149,"blue",522.4022,524.8422,0,0,0,0,0,0,0,0,"dialogue",0,0,0,0,0,0,0,"low",1524,51,55,"Okay. All good. Thank you for handover.",2.44,"handover staff","bed4","primary",NA,"1. two students",NA
70,149,"blue",524.8422,526.8422,0,1,0,0,0,0,0,0,"location",0,0,0,0,0,0,0,"low",NA,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA
82,149,"red",525.4222,529.6222,0,0,0,0,0,0,0,0,"dialogue",0,0,0,1,0,0,0,"low",1525,52,56,"I've just called other people for help to check the IV because I feel like .",4.2,"blue","bed4","primary","escalation","1. two students",NA
77,149,"red",525.4222,526,0,1,0,0,0,0,0,0,"location",0,0,0,0,0,0,0,"low",NA,NA,56,NA,NA,NA,NA,NA,NA,NA,NA
83,149,"blue",526.8422,528.0222,0,0,0,0,0,0,0,0,"dialogue",0,0,0,0,0,0,1,"low",1526,53,56,"Thank you .",1.18,"red","bed4","primary","agreement","1. two students",NA
70,149,"blue",526.8422,529,0,1,0,0,0,0,0,0,"location",0,0,0,0,0,0,0,"low",NA,NA,56,NA,NA,NA,NA,NA,NA,NA,NA
84,149,"red",527,529,0,0,0,0,0,1,0,0,"location",0,0,0,0,0,0,0,"low",NA,NA,56,NA,NA,NA,NA,NA,NA,NA,NA
85,149,"blue",530,531,1,0,0,0,0,0,0,0,"location",0,0,0,0,0,0,0,"low",NA,NA,56,NA,NA,NA,NA,NA,NA,NA,NA
86,149,"red",530,533,0,0,0,0,1,0,0,0,"location",0,0,0,0,0,0,0,"low",NA,NA,56,NA,NA,NA,NA,NA,NA,NA,NA
87,149,"blue",530.1222,532.9422,0,0,0,0,0,0,0,0,"dialogue",0,0,0,1,0,0,0,"low",1527,54,56,"Should we just call both of them just so we get more help ?",2.82,"red","bed4","primary","escalation","1. two students",NA
88,149,"red",531.7422,533.3222,0,0,0,0,0,0,0,0,"dialogue",0,0,0,1,0,0,1,"low",1528,55,56,"yes , I've called both of them , yes.",1.58,"blue","bed4","primary","agreement,escalation","1. two students",NA
89,149,"blue",532,533,0,0,0,0,1,0,0,0,"location",0,0,0,0,0,0,0,"low",NA,NA,56,NA,NA,NA,NA,NA,NA,NA,NA
90,149,"blue",532.9422,533.3622,0,0,0,0,0,0,0,0,"dialogue",0,0,0,0,0,0,1,"low",1529,56,56,"Okay .",0.42,"red","bed4","primary","agreement","1. two students",NA
91,149,"blue",534,537,0,0,0,0,0,1,0,0,"location",0,0,0,0,0,0,0,"low",NA,NA,57,NA,NA,NA,NA,NA,NA,NA,NA
92,149,"red",534,534,0,0,0,0,0,1,0,0,"location",0,0,0,0,0,0,0,"low",NA,NA,-100,NA,NA,NA,NA,NA,NA,NA,NA
93,149,"red",535,563,0,0,0,1,0,0,0,0,"location",0,0,0,0,0,0,0,"low",NA,NA,58,NA,NA,NA,NA,NA,NA,NA,NA
94,149,"blue",536.1022,541.4022,0,0,0,0,0,0,0,0,"dialogue",0,0,0,0,0,0,0,"low",1530,57,57,"Sorry. Hi, Ruth. You okay there? How are you feeling?",5.3,"patient","bed4","primary",NA,"1. two students",NA
95,149,"blue",538,668,0,1,0,0,0,0,0,0,"location",0,0,0,0,0,0,0,"low",NA,NA,57,NA,NA,NA,NA,NA,NA,NA,NA
96,149,"red",540.5022,543.9422,0,0,0,0,0,0,0,0,"dialogue",0,0,0,0,0,0,0,"low",1539,66,58,"Okay so I'm just going to go get your Ceftriaxone.",3.44,"patient","bed1","secondary",NA,"1. two students",NA
97,149,"blue",543.9622,550.8322,0,0,0,0,0,0,0,0,"dialogue",0,0,0,0,0,0,0,"low",1531,58,57,"Tired. Okay, I'm just going to go check on the post op instructions. I'll just be at the bedside, okay?",6.87,"patient","bed4","primary",NA,"1. two students",NA
98,149,"red",546.7022,548.3222,0,0,0,0,0,0,0,0,"dialogue",0,0,0,0,0,0,0,"low",1540,67,58,"I'll take this off.",1.62,"patient","bed1","secondary",NA,"1. two students",NA
99,149,"blue",558.2022,560.2822,0,0,0,0,0,0,0,0,"dialogue",0,0,0,0,0,0,0,"low",1532,59,57,"Sorry?",2.08,"patient","bed4","primary",NA,"1. two students",NA
100,149,"red",564,576,0,0,0,0,0,1,0,0,"location",0,0,0,0,0,0,0,"low",NA,NA,59,NA,NA,NA,NA,NA,NA,NA,NA
101,149,"red",564.3422,564.9822,0,0,0,0,0,0,0,0,"dialogue",0,0,0,0,0,0,0,"low",1541,68,59,"Oh yes, hello.",0.64,"phone","phone","secondary",NA,"1. two students",NA
102,149,"blue",565.0222,568.4622,0,0,0,0,0,0,0,0,"dialogue",0,0,0,0,0,0,0,"low",1533,60,57,"Yes, I'll let her know as soon as I can.",3.44,"patient","bed4","primary",NA,"1. two students",NA
103,149,"blue",570.6622,571.1822,0,0,0,0,0,0,0,0,"dialogue",0,0,0,0,0,0,0,"low",1534,61,57,"Thank you.",0.52,"patient","bed4","primary",NA,"1. two students",NA
104,149,"red",577,594.7622,0,1,0,0,0,0,0,0,"location",0,0,0,0,0,0,0,"low",NA,NA,59,NA,NA,NA,NA,NA,NA,NA,NA
105,149,"red",577.0622,579.8022,0,0,0,0,0,0,0,0,"dialogue",0,0,0,0,0,0,0,"low",1542,69,59,"Bailey, yes, she is.",2.74,"phone","phone","secondary",NA,"1. two students",NA
106,149,"red",583.6422,588.8322,0,0,0,0,0,0,0,0,"dialogue",0,0,0,0,0,0,0,"low",1543,70,59,"Okay. And we're just waiting to do the pre-op checklist and we'll just.",5.19,"phone","phone","secondary",NA,"1. two students",NA
107,149,"red",591.8222,594.7622,0,0,0,0,0,0,0,0,"dialogue",0,0,0,0,0,0,0,"low",1544,71,59,"Okay. Thank you.",2.94,"phone","phone","secondary",NA,"1. two students",NA
104,149,"red",594.7622,607.7622,0,1,0,0,0,0,0,0,"location",0,0,0,0,0,0,0,"low",NA,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA
108,149,"blue",598.1222,598.8022,0,0,0,0,0,0,0,0,"dialogue",0,0,0,0,0,0,0,"low",1535,62,57,"Tired.",0.68,"patient","bed4","primary",NA,"1. two students",NA
109,149,"red",607.7622,613.0022,0,0,0,0,0,0,0,0,"dialogue",0,0,0,0,0,0,0,"low",1545,72,60,"Hello, can you just send those other graduate nurses for help? Oh, okay.",5.24,"phone","phone","secondary",NA,"2. four students",NA
104,149,"red",607.7622,617,0,1,0,0,0,0,0,0,"location",0,0,0,0,0,0,0,"low",NA,NA,60,NA,NA,NA,NA,NA,NA,NA,NA
110,149,"green",614.3422,614.7822,0,0,0,0,0,0,0,0,"dialogue",0,0,0,0,0,0,0,"low",1546,73,60,"Hello.",0.44,"blue","bed1","secondary",NA,"2. four students",NA
111,149,"blue",614.4422,615.9622,0,0,0,0,0,0,0,0,"dialogue",0,0,0,0,0,0,0,"low",1536,63,57,"Yes.",1.52,"red","bed4","primary",NA,"2. four students",NA
112,149,"red",616.3822,633.7222,0,0,0,0,0,0,0,0,"dialogue",0,1,0,0,0,0,0,"low",1547,74,60,"So, I'll just give you a quick handover. So this is Imani, she's day one post vaginal hysterectomy. So I just did her obs right now, she's due for antibiotics so if one of you could just come and check with me and then we can administer that .",17.34,"green,yellow","bed1","secondary","provision of handover information","2. four students",NA
113,149,"green",617,617,0,0,0,0,0,1,0,0,"location",0,0,0,0,0,0,0,"low",NA,NA,-100,NA,NA,NA,NA,NA,NA,NA,NA
114,149,"green",618,624,0,0,0,0,1,0,0,0,"location",0,0,0,0,0,0,0,"low",NA,NA,60,NA,NA,NA,NA,NA,NA,NA,NA
115,149,"red",618,618,1,0,0,0,0,0,0,0,"location",0,0,0,0,0,0,0,"low",NA,NA,-100,NA,NA,NA,NA,NA,NA,NA,NA
116,149,"blue",618.3622,621.6422,0,0,0,0,0,0,0,0,"dialogue",0,0,0,0,0,0,0,"low",1537,64,57,"Just right here still.",3.28,"red","bed4","primary",NA,"2. four students",NA
117,149,"red",619,623,0,0,0,0,1,0,0,0,"location",0,0,0,0,0,0,0,"low",NA,NA,60,NA,NA,NA,NA,NA,NA,NA,NA
118,149,"yellow",620,624,0,0,0,0,1,0,0,0,"location",0,0,0,0,0,0,0,"low",NA,NA,-100,NA,NA,NA,NA,NA,NA,NA,NA
119,149,"blue",623.7222,632.1022,0,0,0,0,0,0,0,0,"dialogue",0,0,0,0,0,0,0,"low",1538,65,57,"So tired. You just came out of a big surgery. You're going to be tired for a while. But I'm here to take care of you okay. I'll just be at the bedside.",8.38,"patient","bed4","primary",NA,"2. four students",NA
120,149,"red",624,637,0,0,1,0,0,0,0,0,"location",0,0,0,0,0,0,0,"low",NA,NA,60,NA,NA,NA,NA,NA,NA,NA,NA
121,149,"green",625,630,0,0,1,0,0,0,0,0,"location",0,0,0,0,0,0,0,"low",NA,NA,60,NA,NA,NA,NA,NA,NA,NA,NA
122,149,"yellow",625,640,0,0,1,0,0,0,0,0,"location",0,0,0,0,0,0,0,"low",NA,NA,-100,NA,NA,NA,NA,NA,NA,NA,NA
123,149,"green",631,633,0,0,0,0,1,0,0,0,"location",0,0,0,0,0,0,0,"low",NA,NA,60,NA,NA,NA,NA,NA,NA,NA,NA
